id,year,week,season,team,pf,pa,opp,win,loss
1,2013,1,r,Timmy,131,81,DenR,1,0
2,2013,1,r,Chad,160,169,Big Boy,0,1
3,2013,1,r,The Boo,153,89,Frankie,1,0
4,2013,1,r,Billy,78,178,Rose,0,1
5,2013,1,r,Fig,121,153,Nordy,0,1
6,2013,1,r,Taylor,126,81,AJ,1,0
7,2013,1,r,DenR,81,131,Timmy,0,1
8,2013,1,r,Big Boy,169,160,Chad,1,0
9,2013,1,r,Frankie,89,153,The Boo,0,1
10,2013,1,r,Rose,178,78,Billy,1,0
11,2013,1,r,Nordy,153,121,Fig,1,0
12,2013,1,r,AJ,81,126,Taylor,0,1
13,2013,2,r,Chad,127,132,Timmy,0,1
14,2013,2,r,DenR,123,108,The Boo,1,0
15,2013,2,r,Big Boy,142,77,Frankie,1,0
16,2013,2,r,Fig,154,112,Billy,1,0
17,2013,2,r,Rose,97,105,Taylor,0,1
18,2013,2,r,Nordy,99,113,AJ,0,1
19,2013,2,r,Timmy,132,127,Chad,1,0
20,2013,2,r,The Boo,108,123,DenR,0,1
21,2013,2,r,Frankie,77,142,Big Boy,0,1
22,2013,2,r,Billy,112,154,Fig,0,1
23,2013,2,r,Taylor,105,97,Rose,1,0
24,2013,2,r,AJ,113,99,Nordy,1,0
25,2013,3,r,Timmy,70,88,The Boo,0,1
26,2013,3,r,Frankie,106,112,Chad,0,1
27,2013,3,r,Big Boy,127,121,DenR,1,0
28,2013,3,r,Billy,114,88,Taylor,1,0
29,2013,3,r,AJ,80,106,Fig,0,1
30,2013,3,r,Nordy,66,134,Rose,0,1
31,2013,3,r,The Boo,88,70,Timmy,1,0
32,2013,3,r,Chad,112,106,Frankie,1,0
33,2013,3,r,DenR,121,127,Big Boy,0,1
34,2013,3,r,Taylor,88,114,Billy,0,1
35,2013,3,r,Fig,106,80,AJ,1,0
36,2013,3,r,Rose,134,66,Nordy,1,0
37,2013,4,r,Frankie,104,117,Timmy,0,1
38,2013,4,r,The Boo,99,144,Big Boy,0,1
39,2013,4,r,Chad,90,169,DenR,0,1
40,2013,4,r,AJ,115,107,Billy,1,0
41,2013,4,r,Taylor,105,106,Nordy,0,1
42,2013,4,r,Fig,141,147,Rose,0,1
43,2013,4,r,Timmy,117,104,Frankie,1,0
44,2013,4,r,Big Boy,144,99,The Boo,1,0
45,2013,4,r,DenR,169,90,Chad,1,0
46,2013,4,r,Billy,107,115,AJ,0,1
47,2013,4,r,Nordy,106,105,Taylor,1,0
48,2013,4,r,Rose,147,141,Fig,1,0
49,2013,5,r,Timmy,114,124,Big Boy,0,1
50,2013,5,r,DenR,82,131,Frankie,0,1
