id,year,team,lc,ru,rsc,p,dc,money
1,2013,Rose,1,0,0,1,0,375
2,2013,Chad,0,0,0,0,0,0
3,2013,Fig,0,1,1,0,1,225
4,2013,Timmy,0,0,0,0,1,0
5,2013,DenR,0,0,0,0,0,0
6,2013,The Boo,0,0,0,0,0,0
7,2013,Frankie,0,0,0,0,0,0
8,2013,Big Boy,0,0,0,0,0,0
9,2013,Billy,0,0,0,0,0,0
10,2013,Nordy,0,0,0,0,0,0
11,2013,AJ,0,0,0,0,0,0
12,2013,Taylor,0,0,0,0,0,0
13,2014,AJ,0,0,0,0,0,0
14,2014,Taylor,0,0,0,0,0,0
15,2014,Rose,1,0,1,1,1,630
16,2014,Chad,0,0,0,0,0,0
17,2014,Fig,0,0,0,0,0,0
18,2014,Timmy,0,0,0,0,0,0
19,2014,DenR,0,1,0,0,1,210
20,2014,The Boo,0,0,0,0,0,0
21,2014,Frankie,0,0,0,0,0,0
22,2014,Big Boy,0,0,0,0,0,0
23,2014,Billy,0,0,0,0,0,0
24,2014,Nordy,0,0,0,0,0,0
25,2015,Rose,0,0,0,0,0,0
26,2015,Chad,0,0,0,0,0,0
27,2015,Fig,0,0,0,0,0,0
28,2015,Timmy,1,0,0,0,0,525
29,2015,DenR,0,0,0,0,1,0
30,2015,The Boo,0,1,0,1,0,330
31,2015,Frankie,0,0,0,0,0,0
32,2015,Big Boy,0,0,1,0,1,125
33,2015,Billy,0,0,0,0,0,0
34,2015,Nordy,0,0,0,0,0,0
35,2016,Rose,0,0,0,0,1,0
36,2016,Chad,0,0,0,0,0,0
37,2016,Fig,0,0,0,1,0,85
38,2016,Timmy,0,0,1,0,1,125
39,2016,DenR,1,0,0,0,0,525
40,2016,The Boo,0,1,0,0,0,245
41,2016,Frankie,0,0,0,0,0,0
42,2016,Big Boy,0,0,0,0,0,0
43,2016,Billy,0,0,0,0,0,0
44,2016,Nordy,0,0,0,0,0,0
45,2017,Rose,0,0,0,0,0,0
46,2017,Chad,1,0,0,1,1,610
47,2017,Fig,0,0,0,0,0,0
48,2017,Timmy,0,0,1,0,1,125
49,2017,DenR,0,0,0,0,0,0
50,2017,The Boo,0,0,0,0,0,0
51,2017,Frankie,0,1,0,0,0,245
52,2017,Big Boy,0,0,0,0,0,0
53,2017,Billy,0,0,0,0,0,0
54,2017,Nordy,0,0,0,0,0,0
55,2018,Rose,0,0,0,0,0,0
56,2018,Chad,0,0,1,1,1,210
57,2018,Fig,0,1,0,0,0,245
58,2018,Timmy,0,0,0,0,0,0
59,2018,DenR,0,0,0,0,0,0
60,2018,The Boo,1,0,0,0,1,525
61,2018,Frankie,0,0,0,0,0,0
62,2018,Big Boy,0,0,0,0,0,0
63,2018,Billy,0,0,0,0,0,0
64,2018,Nordy,0,0,0,0,0,0
65,2019,Rose,0,0,0,0,1,0
66,2019,Chad,1,0,0,0,0,525
67,2019,Fig,0,0,0,0,0,0
68,2019,Timmy,0,1,0,0,0,245
69,2019,DenR,0,0,0,0,0,0
70,2019,The Boo,0,0,0,0,0,0
71,2019,Frankie,0,0,1,1,1,210
72,2019,Big Boy,0,0,0,0,0,0
73,2019,Billy,0,0,0,0,0,0
74,2019,Nordy,0,0,0,0,0,0
75,2020,Rose,0,0,0,0,0,0
76,2020,Chad,0,0,1,0,1,125
77,2020,Fig,1,0,0,1,0,610
78,2020,Timmy,0,0,0,0,0,0
79,2020,DenR,0,1,0,0,0,245
80,2020,The Boo,0,0,0,0,0,0
81,2020,Frankie,0,0,0,0,1,0
82,2020,Big Boy,0,0,0,0,0,0
83,2020,Billy,0,0,0,0,0,0
84,2020,Nordy,0,0,0,0,0,0
85,2021,Rose,0,0,0,0,0,0
86,2021,Chad,0,0,0,0,0,0
87,2021,Fig,0,0,0,0,0,0
88,2021,Timmy,0,0,0,0,0,0
89,2021,DenR,0,1,0,0,0,245
90,2021,The Boo,1,0,0,0,1,525
91,2021,Frankie,0,0,0,0,0,0
92,2021,Big Boy,0,0,1,1,1,210
93,2021,Billy,0,0,0,0,0,0
94,2021,Nordy,0,0,0,0,0,0
